id,harvest_time,station_id,available_bike_stands,bike_stands,available_bikes,banking,bonus,last_update,status,address,name,latitude,longitude
67757334,2023-12-03T14:55:03,1,11,31,20,False,False,2023-12-03T14:52:19,OPEN,Clarendon Row,CLARENDON ROW,53.3409,-6.2625
67757401,2023-12-03T14:55:03,2,20,20,0,False,False,2023-12-03T14:53:05,OPEN,Blessington Street,BLESSINGTON STREET,53.3568,-6.26814
67757422,2023-12-03T14:55:03,3,0,20,20,False,False,2023-12-03T14:54:11,OPEN,Bolton Street,BOLTON STREET,53.3512,-6.26986
67757362,2023-12-03T14:55:03,4,0,20,20,False,False,2023-12-03T14:45:04,OPEN,Greek Street,GREEK STREET,53.3469,-6.27298
67757357,2023-12-03T14:55:03,5,31,40,9,False,False,2023-12-03T14:51:02,OPEN,Charlemont Street,CHARLEMONT PLACE,53.3307,-6.26018
67757324,2023-12-03T14:55:03,6,3,20,17,False,False,2023-12-03T14:52:24,OPEN,Christchurch Place,CHRISTCHURCH PLACE,53.3434,-6.27012
67757365,2023-12-03T14:55:03,7,18,29,11,False,False,2023-12-03T14:52:55,OPEN,High Street,HIGH STREET,53.3436,-6.27507
67757377,2023-12-03T14:55:03,8,22,30,8,False,False,2023-12-03T14:54:18,OPEN,Custom House Quay,CUSTOM HOUSE QUAY,53.3479,-6.24805
67757352,2023-12-03T14:55:03,9,0,24,24,False,False,2023-12-03T14:54:38,OPEN,Exchequer Street,EXCHEQUER STREET,53.343,-6.26358
67757409,2023-12-03T14:55:03,10,0,16,16,True,False,2023-12-03T14:45:44,OPEN,Dame Street,DAME STREET,53.344,-6.2668
67757343,2023-12-03T14:55:03,11,29,30,1,False,False,2023-12-03T14:51:52,OPEN,Earlsfort Terrace,EARLSFORT TERRACE,53.3343,-6.2585
67757398,2023-12-03T14:55:03,12,15,20,5,False,False,2023-12-03T14:52:44,OPEN,Eccles Street,ECCLES STREET,53.3592,-6.26978
67757329,2023-12-03T14:55:03,13,23,30,7,False,False,2023-12-03T14:45:08,OPEN,Fitzwilliam Square West,FITZWILLIAM SQUARE WEST,53.3361,-6.25282
67757333,2023-12-03T14:55:03,14,1,30,29,False,False,2023-12-03T14:46:58,OPEN,Fownes Street Upper,FOWNES STREET UPPER,53.3446,-6.26337
67757406,2023-12-03T14:55:03,15,16,16,0,False,False,2023-12-03T14:45:53,OPEN,Hardwicke Street,HARDWICKE STREET,53.3555,-6.26442
67757379,2023-12-03T14:55:03,16,0,20,20,False,False,2023-12-03T14:52:54,OPEN,Georges Quay,GEORGES QUAY,53.3475,-6.25219
67757344,2023-12-03T14:55:03,17,3,20,17,False,False,2023-12-03T14:54:17,OPEN,Golden Lane,GOLDEN LANE,53.3408,-6.26773
67757325,2023-12-03T14:55:03,18,23,30,5,False,False,2023-12-03T14:54:08,OPEN,Grantham Street,GRANTHAM STREET,53.3341,-6.26544
67757364,2023-12-03T14:55:03,19,4,30,26,False,False,2023-12-03T14:52:40,OPEN,Herbert Place,HERBERT PLACE,53.3344,-6.24557
67757322,2023-12-03T14:55:03,20,29,30,1,False,False,2023-12-03T14:45:30,OPEN,James Street East,JAMES STREET EAST,53.3366,-6.24811
67757430,2023-12-03T14:55:03,21,0,30,30,False,False,2023-12-03T14:52:33,OPEN,Leinster Street South,LEINSTER STREET SOUTH,53.3422,-6.25449
67757395,2023-12-03T14:55:03,22,1,20,19,False,False,2023-12-03T14:52:53,OPEN,Townsend Street,TOWNSEND STREET,53.3459,-6.25461
67757335,2023-12-03T14:55:03,23,0,30,30,False,False,2023-12-03T14:54:21,OPEN,Custom House,CUSTOM HOUSE,53.3483,-6.25466
67757411,2023-12-03T14:55:03,24,0,20,20,False,False,2023-12-03T14:45:21,OPEN,Cathal Brugha Street,CATHAL BRUGHA STREET,53.3521,-6.26053
67757386,2023-12-03T14:55:03,25,15,30,15,False,False,2023-12-03T14:45:48,OPEN,Merrion Square East,MERRION SQUARE EAST,53.3394,-6.24655
67757404,2023-12-03T14:55:03,26,4,20,16,True,False,2023-12-03T14:51:58,OPEN,Merrion Square West,MERRION SQUARE WEST,53.3398,-6.25199
67757378,2023-12-03T14:55:03,27,0,20,20,False,False,2023-12-03T14:53:50,OPEN,Molesworth Street,MOLESWORTH STREET,53.3413,-6.25812
67757426,2023-12-03T14:55:03,28,29,30,0,False,False,2023-12-03T14:54:21,OPEN,Mountjoy Square West,MOUNTJOY SQUARE WEST,53.3563,-6.25859
67757424,2023-12-03T14:55:03,29,0,29,29,False,False,2023-12-03T14:46:04,OPEN,Ormond Quay Upper,ORMOND QUAY UPPER,53.3461,-6.268
67757319,2023-12-03T14:55:03,30,15,20,5,False,False,2023-12-03T14:49:48,OPEN,Parnell Square North,PARNELL SQUARE NORTH,53.3535,-6.26531
67757331,2023-12-03T14:55:03,31,0,20,20,False,False,2023-12-03T14:52:14,OPEN,Parnell Street,PARNELL STREET,53.3509,-6.26512
67757326,2023-12-03T14:55:03,32,5,30,25,False,False,2023-12-03T14:53:03,OPEN,Pearse Street,PEARSE STREET,53.3443,-6.25043
67757416,2023-12-03T14:55:03,33,0,23,23,True,False,2023-12-03T14:54:02,OPEN,Princes Street / O'Connell Street,PRINCES STREET / O'CONNELL STREET,53.349,-6.26031
67757399,2023-12-03T14:55:03,34,29,30,1,False,False,2023-12-03T14:54:16,OPEN,Portobello Harbour,PORTOBELLO HARBOUR,53.3304,-6.26516
67757408,2023-12-03T14:55:03,35,27,30,3,False,False,2023-12-03T14:50:50,OPEN,Smithfield,SMITHFIELD,53.3477,-6.27821
67757393,2023-12-03T14:55:03,36,10,40,30,False,False,2023-12-03T14:52:06,OPEN,St. Stephen's Green East,ST. STEPHEN'S GREEN EAST,53.3378,-6.25603
67757388,2023-12-03T14:55:03,37,24,30,6,True,False,2023-12-03T14:52:52,OPEN,St. Stephen's Green South,ST. STEPHEN'S GREEN SOUTH,53.3375,-6.26199
67757368,2023-12-03T14:55:03,38,1,40,39,False,False,2023-12-03T14:47:57,OPEN,Talbot Street,TALBOT STREET,53.351,-6.25294
67757427,2023-12-03T14:55:03,39,10,20,10,False,False,2023-12-03T14:48:42,OPEN,Wilton Terrace,WILTON TERRACE,53.3324,-6.25272
67757423,2023-12-03T14:55:03,40,2,21,19,False,False,2023-12-03T14:53:40,OPEN,Jervis Street,JERVIS STREET,53.3483,-6.26665
67757421,2023-12-03T14:55:03,41,17,20,3,False,False,2023-12-03T14:51:58,OPEN,Harcourt Terrace,HARCOURT TERRACE,53.3328,-6.25794
67757318,2023-12-03T14:55:03,42,20,30,10,False,False,2023-12-03T14:53:17,OPEN,Smithfield North,SMITHFIELD NORTH,53.3496,-6.2782
67757330,2023-12-03T14:55:03,43,19,30,11,False,False,2023-12-03T14:54:34,OPEN,Portobello Road,PORTOBELLO ROAD,53.3301,-6.26804
67757417,2023-12-03T14:55:03,44,27,30,3,False,False,2023-12-03T14:45:38,OPEN,Upper Sherrard Street,UPPER SHERRARD STREET,53.3584,-6.26064
67757345,2023-12-03T14:55:03,45,1,30,29,False,False,2023-12-03T14:47:22,OPEN,Deverell Place,DEVERELL PLACE,53.3515,-6.25527
67757375,2023-12-03T14:55:03,47,32,40,8,False,False,2023-12-03T14:53:02,OPEN,Herbert Street,HERBERT STREET,53.3357,-6.24551
67757328,2023-12-03T14:55:03,48,39,40,1,False,False,2023-12-03T14:54:13,OPEN,Excise Walk,EXCISE WALK,53.3478,-6.24424
67757363,2023-12-03T14:55:03,49,39,40,1,False,False,2023-12-03T14:51:55,OPEN,Guild Street,GUILD STREET,53.3479,-6.24093
67757396,2023-12-03T14:55:03,50,40,40,0,False,False,2023-12-03T14:46:32,OPEN,George's Lane,GEORGES LANE,53.3502,-6.2797
